Team,Player,SofascoreScore
Crystal Palace,Marc Guéhi,6.87
Everton,Ben Godfrey,6.87
Brighton & Hove Albion,Igor,6.87
Chelsea,Ben Chilwell,6.87
Manchester United,Victor Lindelöf,6.87
Wolverhampton,Sasa Kalajdzic,6.87
Manchester United,Christian Eriksen,6.86
Manchester United,Rasmus Højlund,6.86
Nottingham Forest,Ryan Yates,6.86
Manchester United,Jonny Evans,6.86
Crystal Palace,Odsonne Édouard,6.86
Aston Villa,Jhon Durán,6.86
Nottingham Forest,Danilo,6.85
Burnley,Jóhann Berg Guðmundsson,6.85
Luton Town,Mads Juel Andersen,6.85
Nottingham Forest,Murillo,6.85
Sheffield United,Oliver Arblaster,6.85
Arsenal,David Raya,6.85
Chelsea,Axel Disasi,6.85
Bournemouth,Philip Billing,6.85
Fulham,Raúl Jiménez,6.85
Aston Villa,Pau Torres,6.84
Crystal Palace,Dean Henderson,6.84
Crystal Palace,Will Hughes,6.84
Brentford,Ben Mee,6.84
Tottenham Hotspur,Emerson,6.84
Newcastle United,Sandro Tonali,6.84
Brighton & Hove Albion,Danny Welbeck,6.83
Bournemouth,James Hill,6.83
Fulham,Bobby Reid,6.83
Luton Town,Reece Burke,6.83
Aston Villa,Morgan Rogers,6.83
Crystal Palace,Sam Johnstone,6.82
Wolverhampton,Tommy Doyle,6.82
Nottingham Forest,Serge Aurier,6.82
Brighton & Hove Albion,Evan Ferguson,6.82
Burnley,Zeki Amdouni,6.81
Burnley,Jacob Bruun Larsen,6.81
Newcastle United,Jamaal Lascelles,6.81
Brighton & Hove Albion,Joël Veltman,6.81
Tottenham Hotspur,Rodrigo Bentancur,6.81
Newcastle United,Valentino Livramento,6.81
Everton,Jack Harrison,6.8
Fulham,Tim Ream,6.8
Burnley,Lyle Foster,6.8
Nottingham Forest,Neco Williams,6.8
Luton Town,Gabriel Osho,6.8
Bournemouth,Alex Scott,6.8
Liverpool,Ryan Gravenberch,6.8
West Ham United,Konstantinos Mavropanos,6.8
Fulham,Kenny Tete,6.8
Luton Town,Teden Mengi,6.8
Liverpool,Wataru Endo,6.8
Brentford,Mikkel Damsgaard,6.8
Manchester City,Matheus Nunes,6.8
Chelsea,Benoît Badiashile,6.8
Crystal Palace,Nathaniel Clyne,6.8
Aston Villa,Philippe Coutinho,6.8
Tottenham Hotspur,Pierre Højbjerg,6.8
Luton Town,Issa Kaboré,6.8
Brentford,Neal Maupay,6.79
Arsenal,Emile Smith Rowe,6.79
West Ham United,Nayef Aguerd,6.79
